method_name,base_model_name,base_model_revision_hash,weight_update_type,lora_rank_budget,fraction_of_analyzed_matrices_adapted,module_coverage_fraction,bf16_aware_update_sparsity_mean,principal_angle_rotation_left_subspace_mean_degrees,principal_angle_rotation_right_subspace_mean_degrees,principal_angle_rotation_max_degrees,normalized_spectral_shift_mean,update_mask_overlap_with_principal_mask_mean,update_mask_overlap_with_low_magnitude_mask_mean,stable_rank_of_update_mean,frobenius_norm_of_update_mean,relative_frobenius_drift_mean,hill_tail_exponent_mean,parameter_space_regime_label,regime_anchor_method_name,contextual_awareness_metric_post_repair,difference_aware_metric_post_repair,contextual_awareness_preservation_relative_to_base,trainable_parameter_percentage,number_of_analyzed_matrices,quantization_setting,random_seed
ablation_no_condition_adaptive,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.069587,0.91,0.9283,53.0446,0.000898,0.4955,0.5244,2.9729,2.223485,0.033017,1.7445,relaxed_off_principal,reference_vanilla_lora,0.916,0.9704,2.4036,0.8259313815361078,47,bf16_full,42
ablation_no_rationale_loss,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.075305,0.8713,0.8916,52.6395,0.000743,0.4951,0.5265,3.3644,2.002997,0.030473,1.7865,relaxed_off_principal,reference_vanilla_lora,0.958,0.9218,2.5138,0.8259313815361078,47,bf16_full,42
ablation_placement_random,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.07016,0.907,0.9195,59.1435,0.002229,0.4955,0.5248,2.491,2.588092,0.035583,1.6979,relaxed_off_principal,reference_vanilla_lora,0.945,0.973,2.4797,0.8259313815361078,47,bf16_full,42
ablation_placement_random_draw2,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.070242,0.9636,0.9764,57.6411,0.001407,0.4959,0.5248,2.9684,2.464534,0.034833,1.8232,relaxed_off_principal,reference_vanilla_lora,0.9398,0.9677,2.466,0.8259313815361078,47,bf16_full,42
ablation_placement_random_draw3,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.065041,0.9083,0.9273,59.539,0.002465,0.4966,0.5224,2.4401,2.635181,0.037565,1.6854,relaxed_off_principal,reference_vanilla_lora,0.9398,0.9677,2.466,0.8259313815361078,47,bf16_full,42
ablation_placement_uniform,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.0959,0.5067,0.515,44.4859,0.000515,0.4946,0.5337,2.6093,1.577215,0.02233,1.8945,relaxed_off_principal,reference_vanilla_lora,0.939,0.9542,2.4639,0.8259313815361078,48,bf16_full,42
ablation_rank_sweep_16,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,16-16,0.2386,0.4975,0.0976,0.489,0.4961,42.615,0.000556,0.4938,0.5346,2.411,1.54162,0.022847,1.6798,relaxed_off_principal,reference_vanilla_lora,0.9256,0.973,2.4288,0.37696990750075493,47,bf16_full,42
ablation_rank_sweep_32,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,32-32,0.2386,0.4975,0.063339,0.9057,0.9218,56.0072,0.00096,0.496,0.5221,3.1825,2.253237,0.033538,1.8969,relaxed_off_principal,reference_vanilla_lora,0.928,0.938,2.4351,0.7511083625021551,47,bf16_full,42
ablation_rank_sweep_8,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,8-8,0.2386,0.4975,0.143138,0.2822,0.2854,33.4325,0.000331,0.4908,0.5523,1.9163,1.108108,0.016349,0.0679,relaxed_off_principal,reference_vanilla_lora,0.9484,0.9407,2.4886,0.1888408904153386,47,bf16_full,42
baseline_dart,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.090381,0.542,0.5498,47.5988,0.000575,0.4949,0.5317,2.5571,1.677086,0.023805,1.8856,relaxed_off_principal,reference_vanilla_lora,0.9448,0.9389,2.4791,,48,bf16_full,42
baseline_dart,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.089463,0.5477,0.5561,45.6906,0.000606,0.4948,0.5314,2.6331,1.680431,0.023825,1.8699,relaxed_off_principal,reference_vanilla_lora,0.9448,0.9389,2.4791,,48,bf16_full,43
baseline_dart,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.09289,0.5239,0.5321,43.5874,0.000562,0.4946,0.5327,2.6692,1.644384,0.023419,1.93,relaxed_off_principal,reference_vanilla_lora,0.9448,0.9389,2.4791,,48,bf16_full,44
baseline_fairnet,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.105053,0.495,0.5033,38.381,0.000399,0.494,0.5372,3.0046,1.423705,0.020553,2.084,relaxed_off_principal,reference_vanilla_lora,0.9383,0.9425,2.4621,,48,bf16_full,42
baseline_fairnet,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.107537,0.4763,0.4833,35.5338,0.000403,0.4937,0.5382,3.0272,1.410391,0.020098,1.9875,relaxed_off_principal,reference_vanilla_lora,0.9383,0.9425,2.4621,,48,bf16_full,43
baseline_fairnet,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.103346,0.496,0.5042,36.3671,0.000415,0.494,0.5365,2.8995,1.446588,0.020752,1.9774,relaxed_off_principal,reference_vanilla_lora,0.9383,0.9425,2.4621,,48,bf16_full,44
baseline_igu_lora,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.07757,0.8528,0.8713,49.7068,0.000644,0.4949,0.5273,3.7966,1.904325,0.028555,1.9654,relaxed_off_principal,reference_vanilla_lora,0.9255,0.938,2.4285,,47,bf16_full,42
baseline_lftf,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,54-55,0.2335,0.3198,0.049825,1.2368,1.2558,73.0999,0.002071,0.4976,0.5172,2.4066,3.193939,0.045291,1.7389,relaxed_off_principal,reference_vanilla_lora,0.9029,0.8518,2.3692,,46,bf16_full,42
baseline_pedal,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.111045,0.467,0.4744,34.9388,0.000413,0.4936,0.5396,3.2264,1.364108,0.019534,2.1079,relaxed_off_principal,reference_vanilla_lora,0.9267,0.9542,2.4316,,48,bf16_full,42
baseline_regift,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,17-18,0.2437,0.9949,0.092568,0.5312,0.5389,47.4112,0.000542,0.4949,0.5325,2.3775,1.642251,0.023252,1.824,relaxed_off_principal,reference_vanilla_lora,0.936,0.9461,2.456,,48,bf16_full,42
graft_proposed,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.0715,0.8906,0.9088,54.7216,0.000845,0.4954,0.5251,2.9639,2.157087,0.032199,1.817,relaxed_off_principal,reference_vanilla_lora,0.9396,0.9515,2.4656,0.8259313815361078,47,bf16_full,42
graft_proposed,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.070085,0.9083,0.9264,55.4981,0.00086,0.4955,0.5246,3.1285,2.178214,0.032639,1.7874,relaxed_off_principal,reference_vanilla_lora,0.9396,0.9515,2.4656,0.8259313815361078,47,bf16_full,43
graft_proposed,small-instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,merged_low_rank_adapter_update,11-64,0.2386,0.4975,0.071289,0.9081,0.926,52.7195,0.000816,0.4954,0.525,3.2889,2.134019,0.031939,1.8111,relaxed_off_principal,reference_vanilla_lora,0.9396,0.9515,2.4656,0.8259313815361078,47,bf16_full,44
