tier,method,random_seed,quantization_setting,trainable_parameter_percentage,wall_clock_minutes_training_loop,peak_gpu_memory_gigabytes,optimizer_steps_completed,training_examples_seen,device_name
small-instruct,graft_proposed,42,bf16_full,0.82593,5.8306,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed,43,bf16_full,0.82593,5.7742,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed,44,bf16_full,0.82593,5.7322,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_placement_uniform,42,bf16_full,0.82593,6.9988,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_placement_random,42,bf16_full,0.82593,5.7007,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_placement_random_draw2,42,bf16_full,0.82593,5.6658,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_placement_random_draw3,42,bf16_full,0.82593,5.6976,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_no_rationale_loss,42,bf16_full,0.82593,4.4392,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_no_condition_adaptive,42,bf16_full,0.82593,5.6897,13.014,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_rank_sweep_8,42,bf16_full,0.18884,5.4835,12.706,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_rank_sweep_16,42,bf16_full,0.37697,5.5415,12.797,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,ablation_rank_sweep_32,42,bf16_full,0.75111,5.5757,12.978,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed_qlora_nf4,42,nf4_4bit,1.46191,9.0191,10.543,468,3735,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed_loao_social_group,42,bf16_full,0.82759,3.2811,14.37,267,2115,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora_loao_social_group,42,bf16_full,0.37697,3.9485,12.797,267,2115,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed_loao_landholding,42,bf16_full,0.82593,2.981,13.014,246,1947,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora_loao_landholding,42,bf16_full,0.37697,3.6067,12.797,246,1947,NVIDIA A100-SXM4-40GB
small-instruct,graft_proposed_loao_gender,42,bf16_full,0.82095,5.2191,13.012,426,3408,NVIDIA A100-SXM4-40GB
small-instruct,reference_vanilla_lora_loao_gender,42,bf16_full,0.37697,6.2786,12.797,426,3408,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed,42,bf16_full,1.37506,8.3299,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed,43,bf16_full,1.37506,8.3184,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed,44,bf16_full,1.37506,8.2885,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_placement_uniform,42,bf16_full,1.37506,9.2711,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_placement_random,42,bf16_full,1.37506,8.2682,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_placement_random_draw2,42,bf16_full,1.37506,8.31,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_placement_random_draw3,42,bf16_full,1.37506,8.2918,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_no_rationale_loss,42,bf16_full,1.37506,6.89,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_no_condition_adaptive,42,bf16_full,1.37506,8.5051,16.082,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_rank_sweep_8,42,bf16_full,0.27297,8.4732,15.41,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_rank_sweep_16,42,bf16_full,0.54445,9.0086,15.574,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,ablation_rank_sweep_32,42,bf16_full,1.083,8.6955,15.902,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed_qlora_nf4,42,nf4_4bit,2.47945,12.43,12.516,468,3735,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed_loao_social_group,42,bf16_full,1.38615,4.782,17.835,267,2115,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora_loao_social_group,42,bf16_full,0.40889,5.1781,15.492,267,2115,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed_loao_landholding,42,bf16_full,1.37228,4.3065,16.08,246,1947,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora_loao_landholding,42,bf16_full,0.40889,4.7166,15.492,246,1947,NVIDIA A100-SXM4-40GB
broad-instruct,graft_proposed_loao_gender,42,bf16_full,1.37506,7.6251,16.082,426,3408,NVIDIA A100-SXM4-40GB
broad-instruct,reference_vanilla_lora_loao_gender,42,bf16_full,0.40889,8.6067,15.492,426,3408,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed,42,bf16_full,0.80005,37.6488,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed,43,bf16_full,0.80005,34.8395,27.598,468,3735,NVIDIA A100-SXM4-40GB
general-instruct,graft_proposed,44,bf16_full,0.80005,34.9055,27.598,468,3735,NVIDIA A100-SXM4-40GB
