baseline,slice,n_items,n_diff,n_equal,accuracy_diff,accuracy_equal,overall_accuracy,harmonic_b,erasure_rate_on_diff,wrong_group_rate_on_diff,fabrication_rate_on_equal,invalid_rate
majority,full,749,371,378,0.0,1.0,0.5047,0.0,1.0,0.0,0.0,0.0
majority,structure_novel,421,213,208,0.0,1.0,0.4941,0.0,1.0,0.0,0.0,0.0
majority,structure_familiar,328,158,170,0.0,1.0,0.5183,0.0,1.0,0.0,0.0,0.0
always_equal,full,749,371,378,0.0,1.0,0.5047,0.0,1.0,0.0,0.0,0.0
always_equal,structure_novel,421,213,208,0.0,1.0,0.4941,0.0,1.0,0.0,0.0,0.0
always_equal,structure_familiar,328,158,170,0.0,1.0,0.5183,0.0,1.0,0.0,0.0,0.0
metadata,full,749,371,378,0.8464,0.7989,0.8224,0.822,0.1051,0.0485,0.2011,0.0
metadata,structure_novel,421,213,208,0.8732,0.8077,0.8409,0.8392,0.1033,0.0235,0.1923,0.0
metadata,structure_familiar,328,158,170,0.8101,0.7882,0.7988,0.799,0.1076,0.0823,0.2118,0.0
tfidf,full,749,371,378,0.9137,0.9233,0.9186,0.9185,0.0296,0.0566,0.0767,0.0
tfidf,structure_novel,421,213,208,0.9437,0.9231,0.9335,0.9333,0.0235,0.0329,0.0769,0.0
tfidf,structure_familiar,328,158,170,0.8734,0.9235,0.8994,0.8978,0.038,0.0886,0.0765,0.0
