tier,held_out_axis,seed,method,n_items,n_diff,n_equal,accuracy_diff,accuracy_equal,overall_accuracy,harmonic_b,erasure_rate_on_diff,wrong_group_rate_on_diff,fabrication_rate_on_equal,invalid_rate
broad-instruct,gender,42,graft_proposed,70,40,30,0.2,1.0,0.5429,0.3333,0.725,0.075,0.0,0.0
broad-instruct,gender,42,reference_vanilla_lora,70,40,30,0.025,1.0,0.4429,0.0488,0.8,0.175,0.0,0.0
broad-instruct,landholding,42,graft_proposed,315,159,156,0.522,0.5833,0.5524,0.551,0.0,0.478,0.4167,0.0
broad-instruct,landholding,42,reference_vanilla_lora,315,159,156,0.7233,0.5385,0.6317,0.6173,0.0503,0.2138,0.4615,0.0063
broad-instruct,social_group,42,graft_proposed,364,172,192,0.0058,0.9792,0.5192,0.0116,0.9477,0.0465,0.0208,0.0
broad-instruct,social_group,42,reference_vanilla_lora,364,172,192,0.0058,1.0,0.5302,0.0116,0.9942,0.0,0.0,0.0
general-instruct,gender,42,graft_proposed,70,40,30,0.15,1.0,0.5143,0.2609,0.75,0.1,0.0,0.0
general-instruct,gender,42,reference_vanilla_lora,70,40,30,0.5,1.0,0.7143,0.6667,0.5,0.0,0.0,0.0
general-instruct,landholding,42,graft_proposed,315,159,156,0.195,0.5641,0.3778,0.2898,0.0503,0.7547,0.4359,0.0
general-instruct,landholding,42,reference_vanilla_lora,315,159,156,0.2893,0.8526,0.5683,0.432,0.3648,0.3459,0.1474,0.0
general-instruct,social_group,42,graft_proposed,364,172,192,0.1221,0.9531,0.5604,0.2165,0.5,0.3779,0.0469,0.0
general-instruct,social_group,42,reference_vanilla_lora,364,172,192,0.3256,0.9792,0.6703,0.4887,0.6628,0.0116,0.0208,0.0
general-instruct-2,gender,42,graft_proposed,70,40,30,0.1,1.0,0.4857,0.1818,0.9,0.0,0.0,0.0
general-instruct-2,gender,42,reference_vanilla_lora,70,40,30,0.2,1.0,0.5429,0.3333,0.8,0.0,0.0,0.0
general-instruct-2,landholding,42,graft_proposed,315,159,156,0.0692,0.8333,0.4476,0.1278,0.5786,0.3522,0.1667,0.0
general-instruct-2,landholding,42,reference_vanilla_lora,315,159,156,0.2264,0.7244,0.473,0.345,0.195,0.5786,0.2756,0.0
general-instruct-2,social_group,42,graft_proposed,364,172,192,0.0872,0.8854,0.5082,0.1588,0.2326,0.6802,0.1146,0.0
general-instruct-2,social_group,42,reference_vanilla_lora,364,172,192,0.0872,0.7865,0.456,0.157,0.3663,0.5465,0.2135,0.0
small-instruct,gender,42,graft_proposed,70,40,30,0.1,1.0,0.4857,0.1818,0.9,0.0,0.0,0.0
small-instruct,gender,42,reference_vanilla_lora,70,40,30,0.0,1.0,0.4286,0.0,0.95,0.05,0.0,0.0
small-instruct,landholding,42,graft_proposed,315,159,156,0.4088,0.641,0.5238,0.4992,0.0,0.5912,0.359,0.0
small-instruct,landholding,42,reference_vanilla_lora,315,159,156,0.4906,0.6282,0.5587,0.5509,0.0,0.5094,0.3718,0.0
small-instruct,social_group,42,graft_proposed,364,172,192,0.0698,0.901,0.5082,0.1295,0.3895,0.5407,0.099,0.0
small-instruct,social_group,42,reference_vanilla_lora,364,172,192,0.0756,0.9948,0.5604,0.1405,0.7965,0.1279,0.0052,0.0
