tier,method,min_words_stratum,n_pairs,tfidf_distance_mean
broad-instruct,frozen_base,50-100,2,0.3022
broad-instruct,frozen_base,100-150,115,0.4712
broad-instruct,frozen_base,150-inf,683,0.4603
broad-instruct,graft_proposed,0-50,574,0.3375
broad-instruct,graft_proposed,50-100,156,0.4318
broad-instruct,graft_proposed,100-150,27,0.4772
broad-instruct,graft_proposed,150-inf,43,0.3696
general-instruct,frozen_base,50-100,1,0.5701
general-instruct,frozen_base,100-150,85,0.6103
general-instruct,frozen_base,150-inf,714,0.5422
general-instruct,graft_proposed,0-50,482,0.3313
general-instruct,graft_proposed,50-100,147,0.4501
general-instruct,graft_proposed,100-150,74,0.4604
general-instruct,graft_proposed,150-inf,97,0.4734
general-instruct-2,frozen_base,0-50,6,0.1453
general-instruct-2,frozen_base,50-100,36,0.2876
general-instruct-2,frozen_base,100-150,65,0.3626
general-instruct-2,frozen_base,150-inf,693,0.3315
general-instruct-2,graft_proposed,0-50,617,0.2298
general-instruct-2,graft_proposed,50-100,138,0.3275
general-instruct-2,graft_proposed,100-150,27,0.3476
general-instruct-2,graft_proposed,150-inf,18,0.2816
small-instruct,frozen_base,0-50,55,0.4839
small-instruct,frozen_base,50-100,2,0.5644
small-instruct,frozen_base,100-150,44,0.4518
small-instruct,frozen_base,150-inf,699,0.3647
small-instruct,graft_proposed,0-50,469,0.3127
small-instruct,graft_proposed,50-100,228,0.401
small-instruct,graft_proposed,100-150,49,0.4312
small-instruct,graft_proposed,150-inf,54,0.4662
