tier,method,seed,duplicate_ids,unknown_ids,missing_ids,records,expected_scope
broad-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
broad-instruct,frozen_base,42,0,0,0,749,full_test
broad-instruct,graft_proposed,42,0,0,0,749,full_test
broad-instruct,graft_proposed,43,0,0,0,749,full_test
broad-instruct,graft_proposed,44,0,0,0,749,full_test
broad-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
broad-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
general-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
general-instruct,frozen_base,42,0,0,0,749,full_test
general-instruct,graft_proposed,42,0,0,0,749,full_test
general-instruct,graft_proposed,43,0,0,0,749,full_test
general-instruct,graft_proposed,44,0,0,0,749,full_test
general-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
general-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
general-instruct-2,ablation_placement_uniform,42,0,0,0,749,full_test
general-instruct-2,frozen_base,42,0,0,0,749,full_test
general-instruct-2,graft_proposed,42,0,0,0,749,full_test
general-instruct-2,graft_proposed,43,0,0,0,749,full_test
general-instruct-2,graft_proposed,44,0,0,0,749,full_test
general-instruct-2,ablation_no_condition_adaptive,42,0,0,0,749,full_test
general-instruct-2,ablation_no_rationale_loss,42,0,0,0,749,full_test
small-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
small-instruct,frozen_base,42,0,0,0,749,full_test
small-instruct,graft_proposed,42,0,0,0,749,full_test
small-instruct,graft_proposed,43,0,0,0,749,full_test
small-instruct,graft_proposed,44,0,0,0,749,full_test
small-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
small-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
cpu-baseline,always_equal,20260912,0,0,0,749,full_test
cpu-baseline,majority,20260912,0,0,0,749,full_test
cpu-baseline,metadata,20260912,0,0,0,749,full_test
cpu-baseline,tfidf,20260912,0,0,0,749,full_test
